x,Curve1
0.38705,0.75202
0.79118,1.1534
1.20392,1.39792
1.64477,1.65167
2.7594,1.96078
2.78697,1.85467
5.62042,3.64475
6.45258,3.56171
6.45495,4.0692
7.91523,4.27682
8.42878,4.07382
8.44838,4.26298
