x,Curve1
0.9199,0.67359
1.3701,0.92734
1.55708,0.90427
1.58381,0.61822
2.1093,0.96886
2.29687,1.07036
2.42803,1.11188
2.4557,1.02884
2.78352,1.11649
3.28024,1.31488
3.30746,1.13495
3.68248,1.31488
3.73051,1.58247
3.77551,1.20415
4.5057,1.31949
4.83441,1.59631
5.32931,1.40715
8.00241,2.9158
8.25514,2.9481
8.68564,2.98962
10.00554,3.18339
10.22968,3.10496
10.52976,3.26182
