Dimensionless speed,Relative stride length
0.25976,1.10809
0.27143,1.32349
0.27511,1.2235
0.32081,1.30819
0.37421,1.4775
0.62855,1.30097
0.71228,1.41648
0.88369,1.7629
0.88784,2.03983
0.98261,1.87074
1.13123,2.21712
1.23379,2.2019
1.2982,2.05584
1.49226,2.28691
1.8424,2.75668
2.03648,3.00313
