x,Curve1
0.90673,1.95524
0.98661,2.02459
1.34821,2.54823
1.45099,2.70223
1.46148,1.98686
1.53823,2.58698
1.63324,2.60251
1.70132,2.36416
1.79653,2.54123
2.16565,2.99564
